,Message Body,Message Title,Sent On,NOTIFICATION,INCIDENT / CLERY 1,INCIDENT / CLERY 2,LOC_D,DES1_D,DES2_D,PV_D,PS_D,LOC_S,DES1_S,DES2_S,PV_S,PS_S,LOC_C,DES1_C,DES2_C,PV_C,PS_C,LOC_E,DES1_E,DES2_E,PV_E,PS_E
87,"Please note this message may contain information that some may find upsetting. 
 On 04-09-2022 15:00:00, an aggravated assault occurred at Frank Shlesinger Way near the steam plant. 
 Victim reported her and the father of her child were on UC Berkeley campus and started an argument that resulted in physical abuse. Father of child took the vehicle and abandoned it in the City of Oakland. 
 This case is under investigation.",Violent Crime Reported at Frank Shlesinger Way near the steam plant - Please note this message may contain information that some may find upsetting.,"Apr 09, 2022 16:22:25 PDT",Timely Warning ,Aggravated Assault,None,Radius / Area,Touch ,Reconstructed Scenario,"Gender, No Race","Gender, No Race",Radius / Area,Reconstructed Scenario,Memorable detail,"Gender, No Race","Gender, No Race",,,,,,,,,,
88,"Please note this message may contain information that some may find upsetting. 
 Community Advisory:",Community Advisory - Please note this message may contain information that some may find upsetting.,"Apr 12, 2022 12:58:35 PDT",Community Advisory ,None,None,All campus,none,none,none,none,All campus,Safety Instructions / Tips,none,none,none,,,,,,,,,,
89,"Please note this message may contain information that some may find upsetting. 
 Community Advisory: 
 On 4/16/22 at approximately 0200 hours, in the area of Haste St and Bowditch St, the Berkeley Police Dept (BPD) observed a loud gunshot sound from the intersection. One gun shell casing was recovered. In addition BPD observed loud gunshot like noises in the areas of Dwight Way/Etna St and College Ave/Garber St. 
 A possible responsible vehicle was seen leaving the area which was described as a light colored sedan. The vehicle was possibly last seen southbound on College. 
 If you have any information please contact BPD (510) 981- 5900 (Case # 22-17398)",Community Advisory - Please note this message may contain information that some may find upsetting.,"Apr 16, 2022 03:51:19 PDT",Community Advisory ,None,None,Radius / Area,Memorable detail,Reconstructed Scenario,none,none,Intersection,Reconstructed Scenario,Memorable detail,none,none,,,,,,,,,,
90,"Please note this message may contain information that some may find upsetting. 
 On 04-17-2022 12:30:00, an aggravated assault occurred at People's Park. 
 In the process of breaking up an altercation between two unidentified acquaintances, the victim was hit in the head with a metal pipe. The victim did not have any visible injuries, declined medical treatment, and was unable to describe any characteristics of possible suspects. There were no witnesses at this time. 
 This case is being documented and investigated.",Violent Crime Reported at People's Park - Please note this message may contain information that some may find upsetting.,"Apr 17, 2022 12:49:56 PDT",Timely Warning ,Aggravated Assault,None,Block,Reconstructed Scenario,Touch ,none,none,Address / Specific Named,People's Park,Reconstructed Scenario,"No Race, Gender Neutral","No Race, Gender Neutral",,,,,,,,,,
91,"Please note this message may contain information that some may find upsetting. 
 On 04-21-2022 00:25:00, a burglary occurred at 2811 Channing Way. 
 On 4/21/22 at approximately 0025 hours, an attempted burglary was interrupted at the location. A suspect was contacted by a resident and the suspect fled the area prior to making entry into the building. 
 The suspect is described as male, between 25-30 yrs old, wearing a black beanie, black hooded sweatshirt with a white t-shirt underneath, black pants. Last seen leaving the area E/B from the location. 
 If you have any information contact the Berkeley Police Dept. Case #22-18196",Burglary at 2811 Channing Way,"Apr 21, 2022 01:01:21 PDT",Timely Warning ,Burglary,None,Address / Specific Named,Reconstructed Scenario,Safety Instructions / Tips,none,"Gender, No Race",Address / Specific Named,Reconstructed Scenario,Memorable detail,none,"Gender, No Race",,,,,,,,,,
92,"UC Berkeley WarnMe: An Emergency has occurred near Campus-wide. Please go inside and move away from doors and windows. 04-21-202209:30:24 Police activity on campus. Shelter in place and stay tuned to WarnMe for updates. 
 Emergency personnel are responding. 
 Stay tuned to UC Berkeley WarnMe, KALX 90.7 FM, and news.berkeley.edu for continued information.",UC Berkeley WarnMe: SHELTER IN PLACE Near Campus-wide04-21- 202209:30:24,"Apr 21, 2022 09:30:25 PDT",Emergency Notification,Incident: Shelter in Place,None,All campus,Safety Instructions / Tips,none,none,none,All campus,Safety Instructions / Tips,none,none,none,,,,,,,,,,
93,"UC Berkeley WarnMe: A Campus- wide Emergency alert has been issued. Campus police are investigating a credible campus- wide threat. Please go inside and move away from doors and windows. If you are not on campus, please stay away from the area. Facilities Services are locking buildings on campus. 
 Shelter in place and WarnMe will send regular updates.",UC Berkeley WarnMe: SHELTER IN PLACE Campus-wide04-21- 202210:00:55,"Apr 21, 2022 10:00:55 PDT",Emergency Notification,Incident: Shelter in Place,None,All campus,Safety Instructions / Tips,none,none,none,All campus,Safety Instructions / Tips,none,none,none,,,,,,,,,,
94,"UC Berkeley WarnMe: A Campus- wide Emergency alert has been issued. Campus police are investigating a credible campus- wide threat. Please go inside and move away from doors and windows. If you are not on campus, please stay away from the area. Facilities Services are locking buildings on campus. 
 Shelter in place. Emergency personnel are responding. We will send updates approximately every 15 minutes or sooner if needed. 
 Stay tuned to UC Berkeley WarnMe, KALX 90.7 FM, and news.berkeley.edu for continued information.",UC Berkeley WarnMe: SHELTER IN PLACE Campus-wide04-21- 202210:20:20,"Apr 21, 2022 10:20:20 PDT",Emergency Notification,Incident: Shelter in Place,None,All campus,Safety Instructions / Tips,none,none,none,All campus,Safety Instructions / Tips,none,none,none,,,,,,,,,,
95,"UC Berkeley WarnMe: A Campus- wide Emergency alert has been issued. Campus police are investigating a credible campus- wide threat. Please go inside and move away from doors and windows. If you are not on campus, please stay away from the area. Facilities Services are locking buildings on campus. 
 All campus services are closed until further notice (e.g. libraries, dining, parking garages). 
 In-person classes are canceled through the remainder of the day. Instructors are encouraged to accommodate students and if possible record their remote classes to provide access to students at a later time. 
 Shelter in place. Emergency personnel are responding. We will send updates approximately every 15 minutes or sooner if needed.",UC Berkeley WarnMe: SHELTER IN PLACE Campus-wide04-21- 202210:44:36,"Apr 21, 2022 10:44:37 PDT",Emergency Notification,Incident: Shelter in Place,None,All campus,Safety Instructions / Tips,none,none,none,All campus,Safety Instructions / Tips,none,none,none,,,,,,,,,,
96,"UC Berkeley WarnMe: A Campus- wide Emergency alert has been issued. Campus police continue to investigate this credible campus- wide threat. Please go inside and move away from doors and windows. If you are not on campus, please stay away from the area. Facilities Services are locking buildings on campus. 
 All campus services are closed until further notice (e.g. libraries, dining, parking garages). 
 In-person classes are canceled through the remainder of the day. Instructors are encouraged to accommodate students and if possible record their remote classes to provide access to students at a later time. 
 Shelter in place. Emergency personnel are responding. We will send updates approximately every 15 minutes or sooner if needed.",UC Berkeley WarnMe: SHELTER IN PLACE Campus-wide04-21- 202211:00:15,"Apr 21, 2022 11:00:15 PDT",Emergency Notification,Incident: Shelter in Place,None,All campus,Safety Instructions / Tips,none,none,none,All campus,Safety Instructions / Tips,none,none,none,,,,,,,,,,
97,"UC Berkeley WarnMe: A Campus- wide Emergency alert has been issued. Campus police continue to investigate this credible campus- wide threat. If you are not on campus, please stay away from the area. Facilities Services is locking buildings on campus. If you are in a building, please stay where you are and move away from doors and windows. If you are not in a building, please leave the campus immediately. 
 All campus services are closed until further notice (e.g. libraries, dining, parking garages). 
 In-person classes are canceled through the remainder of the day. Instructors are encouraged to accommodate students and if possible record their remote classes to provide access to students at a later time. 
 Shelter in place. Emergency personnel are responding. We will send updates approximately",UC Berkeley WarnMe: SHELTER IN PLACE Campus-wide04-21- 202211:17:03,"Apr 21, 2022 11:17:03 PDT",Emergency Notification,Incident: Shelter in Place,None,All campus,Safety Instructions / Tips,none,none,none,All campus,Safety Instructions / Tips,none,none,none,,,,,,,,,,
98,"UC Berkeley WarnMe: A Campus- wide Emergency alert has been issued. Campus police continue to investigate this credible campus- wide threat. If you are not on campus, please stay away from the area. Facilities Services is locking buildings on campus. If you are in a building, please stay where you are and move away from doors and windows. If you are not in a building, please leave the campus immediately. 
 All campus services are closed until further notice (e.g. libraries, dining, parking garages). 
 In-person classes are canceled through the remainder of the day. Instructors are encouraged to accommodate students and if possible record their remote classes to provide access to students at a later time. 
 Shelter in place. Emergency personnel are responding. We will send updates approximately",UC Berkeley WarnMe: SHELTER IN PLACE Campus-wide04-21- 202211:32:45,"Apr 21, 2022 11:32:45 PDT",Emergency Notification,Incident: Shelter in Place,None,All campus,Safety Instructions / Tips,none,none,none,All campus,Safety Instructions / Tips,none,none,none,,,,,,,,,,
99,"UC Berkeley WarnMe: A Campus- wide Emergency alert has been issued. Campus police continue to investigate this credible campus- wide threat. If you are not on campus, please stay away from the area. Facilities Services is locking buildings on campus. If you are in a building, please stay where you are and move away from doors and windows. If you are not in a building, please leave the campus immediately. 
 All campus services are closed until further notice (e.g. libraries, dining, parking garages). 
 In-person classes are canceled through the remainder of the day. Instructors are encouraged to accommodate students and if possible record their remote classes to provide access to students at a later time. 
 Shelter in place. Emergency personnel are responding. We will send updates approximately",UC Berkeley WarnMe: SHELTER IN PLACE Campus-wide04-21- 202211:48:12,"Apr 21, 2022 11:48:13 PDT",Emergency Notification,Incident: Shelter in Place,None,All campus,Safety Instructions / Tips,none,none,none,All campus,Safety Instructions / Tips,none,none,none,,,,,,,,,,
100,"UC Berkeley WarnMe: A Campus- wide Emergency alert has been issued. There is no new information at this time. Campus police continue to investigate this credible campus-wide threat. If you are not on campus, please stay away from the area. Facilities Services is locking buildings on campus. If you are in a building, please stay where you are and move away from doors and windows. If you are not in a building, please leave the campus immediately. 
 All campus services are closed until further notice (e.g. libraries, dining, parking garages). 
 In-person classes are canceled through the remainder of the day. Instructors are encouraged to accommodate students and if possible record their remote classes to provide access to students at a later time. 
 Shelter in place. Emergency",UC Berkeley WarnMe: SHELTER IN PLACE Campus-wide04-21- 202212:02:48,"Apr 21, 2022 12:02:48 PDT",Emergency Notification,Incident: Shelter in Place,None,All campus,Safety Instructions / Tips,none,none,none,All campus,Safety Instructions / Tips,none,none,none,,,,,,,,,,
101,"UC Berkeley WarnMe: A Campus- wide Emergency alert has been issued. There is no new information at this time. Campus police continue to investigate this credible campus-wide threat. If you are not on the core campus, please stay away from the area. Facilities Services is locking buildings on the core campus. If you are in a building on the core campus, please continue to stay where you are and move away from doors and windows. If you are not in a building on the core campus, please leave the campus immediately. 
 All services on the core campus are closed until further notice (e.g. libraries, dining, parking garages). 
 In-person classes are canceled through the remainder of the day. Instructors are encouraged to accommodate students and if possible record their remote classes to provide access to",UC Berkeley WarnMe: SHELTER IN PLACE Campus-wide04-21- 202212:18:57,"Apr 21, 2022 12:18:57 PDT",Emergency Notification,Incident: Shelter in Place,None,All campus,Safety Instructions / Tips,none,none,none,All campus,Safety Instructions / Tips,Safety Instructions / Tips,none,none,,,,,,,,,,
102,"UC Berkeley WarnMe: A Campus- wide emergency alert and shelter- in-place has been issued. We will provide further instruction as soon as we can. Thank you for your patience during this trying and protracted situation. Your safety is our main concern. 
 Campus police continue to investigate this credible campus- wide threat. If you are not on campus, please stay away from the area. Facilities Services is locking buildings on the campus. If you are in a building on the campus, please continue to stay where you are and move away from doors and windows. If you are not in a building on the campus, please leave the campus immediately. 
 All services on the campus are closed until further notice (e.g. libraries, dining, parking garages). 
 In-person classes are canceled through the remainder of the day.",UC Berkeley WarnMe: SHELTER IN PLACE Campus-wide04-21- 202212:39:41,"Apr 21, 2022 12:39:41 PDT",Emergency Notification,Incident: Shelter in Place,None,All campus,Safety Instructions / Tips,none,none,none,All campus,Safety Instructions / Tips,Safety Instructions / Tips,none,none,,,,,,,,,,
103,"UC Berkeley WarnMe: A Campus- wide emergency alert and shelter- in-place has been issued. We will provide further instruction as soon as we can. Thank you for your patience during this trying and protracted situation. Your safety is our main concern. 
 Campus police continue to investigate this credible campus- wide threat. If you are not on campus, please stay away from the area. Facilities Services is locking buildings on the campus. If you are in a building on the campus, please continue to stay where you are and move away from doors and windows. If you are outdoors on the campus, please leave the campus immediately. 
 All services on the campus are closed until further notice (e.g. libraries, dining, parking garages). 
 In-person classes are canceled through the remainder of the day.",UC Berkeley WarnMe: SHELTER IN PLACE Campus-wide04-21- 202212:58:01,"Apr 21, 2022 12:58:02 PDT",Emergency Notification,Incident: Shelter in Place,None,All campus,Safety Instructions / Tips,none,none,none,All campus,Safety Instructions / Tips,Safety Instructions / Tips,none,none,,,,,,,,,,
104,"UC Berkeley WarnMe: The shelter in place has been lifted. Please leave the campus in a safe and orderly way via the closest route available. UCPD has determined based upon its investigation that it is appropriate to end the shelter in place. Buildings will remain locked. 
 In-person classes remain canceled for the day.",UC Berkeley WarnMe: SHELTER IN PLACE Lifted Campus-wide04-21- 202213:41:14,"Apr 21, 2022 13:41:14 PDT",All Clear,Incident: Shelter in Place,None,All campus,Safety Instructions / Tips,none,none,none,All campus,Safety Instructions / Tips,Safety Instructions / Tips,none,none,,,,,,,,,,
105,UC Berkeley WarnMe: ALL CLEAR - The situation has been resolved. Thank you for your patience.,UC Berkeley WarnMe: ALL CLEAR - SHELTER IN PLACE Lifted Campus- wide 04-21-202214:00:39,"Apr 21, 2022 14:00:39 PDT",All Clear,Incident: Shelter in Place,None,All campus,Safety Instructions / Tips,none,none,none,All campus,Safety Instructions / Tips,Safety Instructions / Tips,none,none,,,,,,,,,,
106,"Please note this message may contain information that some may find upsetting. 
 On 04-22-2022 02:00:00, a robbery occurred at 2347 Telegraph Ave. 
 On 4/22/22 at approximately 0200 hrs, a robbery via gun occurred in front of 2439 Durant Ave. The suspect approached the victim who was in his car and demanded his necklace. When the victim said no the suspect took the necklace and ran on foot N/B on Telegraph Ave. The victim following the suspect in his vehicle. In front of 2347 Telegraph Ave. the suspect turned and shot at the victim's car at least twice, hitting the vehicle once. The suspect continued to run N/B on Telegraph Ave then, N/W into and through campus. The victim was not injured. 
 The suspect was described as a male, approximately 20-25 yrs",Violent Crime Reported at 2347 Telegraph Ave - Please note this message may contain information that some may find upsetting.,"Apr 22, 2022 03:14:06 PDT",Timely Warning ,Robbery,None,Address / Specific Named,Touch ,Reconstructed Scenario,"Gender, No Race","Gender, No Race",Address / Specific Named,Reconstructed Scenario,Memorable detail,"Gender, No Race","Gender, No Race",Address / Specific Named,Touch ,Reconstructed Scenario,none,"Gender, No Race",Address / Specific Named,Memorable detail,Reconstructed Scenario,"Gender, No Race","Gender, No Race"
107,"Please note this message may contain information that some may find upsetting. 
 On 04-23-2022 22:00:00, an aggravated assault occurred at Peoples Park. 
 The victim was assaulted inside People's Park, and transported to the hospital with complaints of pain the next morning.",Violent Crime Reported at People's Park - Please note this message may contain information that some may find upsetting.,"Apr 24, 2022 10:41:12 PDT",Timely Warning ,Aggravated Assault,None,Block,Touch ,People's Park,none,none,Address / Specific Named,People's Park,Reconstructed Scenario,"No Race, Gender Neutral",none,Address / Specific Named,People's Park,Touch ,none,none,Address / Specific Named,People's Park,none,"No Race, Gender Neutral",none
108,"A protest on Upper Sproul Plaza is completely blocking Sather Gate. For your safety, please avoid the area and find alternate routes through campus.",Community Message - Protest on Upper Sproul Plaza,"Apr 29, 2022 13:31:06 PDT",Community Advisory ,Incident: Protest Activity,None,Radius / Area,Safety Instructions / Tips,none,none,none,Radius / Area,Safety Instructions / Tips,none,none,none,Address / Specific Named,Safety Instructions / Tips,none,none,none,Address / Specific Named,Safety Instructions / Tips,none,none,none
109,Sather Gate is now clear.,Community Message - Protest on Upper Sproul Plaza (Update),"Apr 29, 2022 16:05:14 PDT",All Clear,Incident: Protest Activity,None,Radius / Area,Safety Instructions / Tips,none,none,none,Radius / Area,Safety Instructions / Tips,none,none,none,Address / Specific Named,Safety Instructions / Tips,none,none,none,Address / Specific Named,Safety Instructions / Tips,,none,none
110,"Please note this message may contain information that some may find upsetting. 
 On 04-29-2022 01:50:00, a burglary occurred at 2499 Piedmont Ave. 
 On 4/29/22 at approximately 0150 hours, a burglary occurred. A suspect entered the building through a window. The resident located the suspect in their room laying on the bed and using their computer. The suspect was last seen leaving the location W/B on Dwight Way. 
 The suspect is described as male, approximately 25 yrs old, beard, wearing a jacket, no other description. 
 If you have any information contact the Berkeley Police Dept. Case #22-19602",Burglary at 2499 Piedmont Ave,"Apr 29, 2022 03:23:48 PDT",Timely Warning ,Burglary,None,Address / Specific Named,Reconstructed Scenario,none,"No Race, Gender Neutral","Gender, No Race",Address / Specific Named,Reconstructed Scenario,none,"No Race, Gender Neutral","Gender, No Race",Address / Specific Named,Memorable detail,Reconstructed Scenario,none,"Gender, No Race",Address / Specific Named,Reconstructed Scenario,Memorable detail,"No Race, Gender Neutral","Gender, No Race"
111,"UC Berkeley WarnMe: A fire has been reported at 2400 Block of Bowditch Street (at Haste Street). Evacuate to your Emergency Assembly Area if you are in the building. Please stay clear of responders in the area. 05-02- 202212:07:22 
 UCPD and other emergency personnel are responding. On scene responders and staff will share any immediate next actions. 
 Stay tuned to UC Berkeley WarnMe for continued information.",UC Berkeley WarnMe: Fire at 2400 Block of Bowditch Street (at Haste Street) - AVOID THE AREA 05-02-202212:07:22,"May 02, 2022 12:07:22 PDT",Emergency Notification,Incident: Fire,None,Block,Safety Instructions / Tips,none,none,none,Block,Safety Instructions / Tips,none,none,none,Block,Safety Instructions / Tips,none,none,none,Block,Safety Instructions / Tips,none,none,none
112,"UC Berkeley WarnMe: A fire has been reported at 2400 Block of Bowditch Street (at Haste Street). Evacuate to your Emergency Assembly Area if you are in the building. Please stay clear of responders in the area. 05-02- 202213:41:46 
 UPDATE:
 The fire has been extinguished. No injuries have been reported. 
 First responders are still on scene and are conducting an investigation. 
 Please continue to stay clear of responders in the area. 
 UCPD and other emergency personnel are responding. On scene responders and staff will share any immediate next actions. 
 Stay tuned to UC Berkeley WarnMe for continued information.",UC Berkeley WarnMe: Fire at 2400 Block of Bowditch Street (at Haste Street) - AVOID THE AREA 05-02-202213:41:46,"May 02, 2022 13:41:46 PDT",All Clear,Incident: Fire,None,Block,Safety Instructions / Tips,Reconstructed Scenario,none,none,Block,Safety Instructions / Tips,none,none,none,Block,Safety Instructions / Tips,none,none,none,Block,Safety Instructions / Tips,none,none,none
113,"UC Berkeley WarnMe: A fire has been reported at 2400 Block of Bowditch Street (at Haste Street). Evacuate to your Emergency Assembly Area if you are in the building. Please stay clear of responders in the area. 05-02- 202214:02:08 
 UPDATE: 
 ALL CLEAR - The emergency is over but the building will remain closed until further notice. We will not be sending further updates from WarnMe, but please check with the building manager for further updates. 
 First responders are still on scene and are conducting an investigation. 
 Please continue to stay clear of responders in the area. 
 UCPD and other emergency personnel are responding.",UC Berkeley WarnMe: ALL CLEAR - Fire at 2400 Block of Bowditch Street (at Haste Street) - AVOID THE AREA 05-02-202214:02:08,"May 02, 2022 14:02:08 PDT",All Clear,Incident: Fire,None,Block,Safety Instructions / Tips,none,none,none,Block,Safety Instructions / Tips,none,none,none,Block,Safety Instructions / Tips,none,none,none,Block,Safety Instructions / Tips,none,none,none
114,"UC Berkeley WarnMe: A fire has been reported at 2400 Block of Bowditch Street (at Haste Street). Evacuate to your Emergency Assembly Area if you are in the building. Please stay clear of responders in the area. 05-02- 202214:13:56 
 UPDATE: 
 ALL CLEAR - The emergency is over but the building will remain closed until further notice. We will not be sending further updates from WarnMe, but please check with the building manager for further updates. 
 First responders are still on scene and are conducting an investigation. 
 Please continue to stay clear of responders in the area.",UC Berkeley WarnMe: ALL CLEAR Fire at 2400 Block of Bowditch Street (at Haste Street) - AVOID THE AREA 05-02-202214:13:56,"May 02, 2022 14:13:56 PDT",All Clear,Incident: Fire,None,Block,Safety Instructions / Tips,none,none,none,Block,Safety Instructions / Tips,none,none,none,Block,Safety Instructions / Tips,none,none,none,Block,Safety Instructions / Tips,none,none,none
115,"Please note this message may contain information that some may find upsetting. 
 On 05-04-2022 23:05:00, an aggravated assault occurred at People's Park. 
 Witnesses reported an assault via a metal pole inside People's Park. UCPD #22-00963",Violent Crime Reported at People's Park - Please note this message may contain information that some may find upsetting.,"May 04, 2022 00:13:13 PDT",Timely Warning ,Aggravated Assault,None,Block,Touch ,People's Park,none,none,Address / Specific Named,People's Park,Reconstructed Scenario,none,none,Address / Specific Named,People's Park,none,none,none,Address / Specific Named,People's Park,none,none,none
116,"Berkeley, CA (Tuesday, May 10th)- -The University of California
 Police Department, Berkeley (UCPD) is alerting community members about a recent telephone / video call scam where suspects are extorting money from unsuspecting victims. The money scams involve suspects who contact individuals via telephone or video calls posing as immigration officers or police officers and threatening deportation or arrest if they do not pay a sum of money. The caller demands money be wired to an overseas bank account, defrauding victims of money. 
 These scammers are using a technique referred to as “caller-ID spoofing.” This is the practice of causing the intended victims’ telephone network to show that the call came from somewhere other than its true origination. According to the intended victims, some of the calls appeared to be coming from a legitimate",Community Message - UCPD Alerts Community about Recent Scam Activity,"May 10, 2022 16:30:06 PDT",Community Advisory ,None,None,All campus,Safety Instructions / Tips,Reconstructed Scenario,none,none,All campus,Safety Instructions / Tips,none,none,none,Digital / Telephone,Safety Instructions / Tips,none,none,none,Digital / Telephone,Safety Instructions / Tips,none,none,none
117,"Please note this message may contain information that some may find upsetting. 
 On 05-12-2022 14:30:00, a sexual battery occurred at Wickson Road, UC Berkeley Campus. 
 The suspect committed a sexual battery on a female victim on Wickson Road south of Mulford Hall on the main UC Berkeley campus. 
 If you have any information about this crime, or if you know of any similar incidents please contact: UCPD (510) 642-6760","Violent Crime Reported at Wickson Road, UC Berkeley Campus - Please note this message may contain information that some may find upsetting.","May 12, 2022 16:28:06 PDT",Timely Warning ,Sexual Battery,None,Radius / Area,Touch ,Safety Instructions / Tips,"Gender, No Race","No Race, Gender Neutral",Radius / Area,Reconstructed Scenario,Touch ,"Gender, No Race","No Race, Gender Neutral",Block,Touch ,none,"Gender, No Race",none,Block,none,none,"Gender, No Race","No Race, Gender Neutral"
118,"Please note this message may contain information that some may find upsetting. 
 On 05-24-2022 06:56:00, an aggravated assault occurred at People's Park. 
 UCPD Berkeley responded to a report of a fire and upon arrival learned the incident also involved an assault with an object causing injury. The victim was taken to the hospital via ambulance. The suspect, last seen walking south on foot, was a male, Black with dark complexion, about 6 feet tall and medium build, wearing a gray t-shirt and light blue jeans. The fire has been contained.",Violent Crime Reported at People's Park - Please note this message may contain information that some may find upsetting.,"May 24, 2022 07:22:07 PDT",Timely Warning ,Aggravated Assault,None,Address / Specific Named,Safety Instructions / Tips,none,none,none,Radius / Area,Safety Instructions / Tips,none,none,none,Address / Specific Named,People's Park,Reconstructed Scenario,none,"Race, Gender",Address / Specific Named,People's Park,Reconstructed Scenario,"No Race, Gender Neutral","Race, Gender"
119,"UC Berkeley WarnMe: AVOID THE AREA of Lewis Hall on the UC Berkeley main campus until further notice 05-23- 202222:58:50. 
 Continue to avoid the area of Lewis Hall on the UC Berkeley Main Campus until further notice.",UC Berkeley WarnMe: AVOID THE AREA of Lewis Hall on the UC Berkeley main campus05-23- 202222:58:50,"May 23, 2022 22:58:50 PDT",Emergency Notification,None,None,Address / Specific Named,Safety Instructions / Tips,none,none,none,Radius / Area,Safety Instructions / Tips,none,none,none,Address / Specific Named,Safety Instructions / Tips,none,none,none,Address / Specific Named,Safety Instructions / Tips,none,none,none
120,UC Berkeley WarnMe: ALL CLEAR of Lewis Hall on the UC Berkeley main campus. 05-23- 202223:26:43.,UC Berkeley WarnMe: ALL CLEAR of Lewis Hall on the UC Berkeley main campus. 05-23- 202223:26:43.,"May 23, 2022 23:26:43 PDT",All Clear,None,None,Radius / Area,Safety Instructions / Tips,none,none,none,Radius / Area,Safety Instructions / Tips,none,none,none,Address / Specific Named,Safety Instructions / Tips,none,none,none,Address / Specific Named,none,none,none,none
121,UC Berkeley WarnMe: AVOID THE AREA of Lewis Hall on the UC Berkeley main campus until further notice 05-23- 202222:09:17.,UC Berkeley WarnMe: AVOID THE AREA of Lewis Hall on the UC Berkeley main campus05-23- 202222:09:17,"May 23, 2022 22:09:17 PDT",Emergency Notification,None,None,Block,People's Park,Safety Instructions / Tips,none,none,Address / Specific Named,People's Park,Safety Instructions / Tips,none,none,Address / Specific Named,Safety Instructions / Tips,none,none,none,Address / Specific Named,Safety Instructions / Tips,none,none,none
122,"UC Berkeley WarnMe: A fire has been reported at Peoples' Park. Evacuate to your Emergency Assembly Area if you are in the building. Please stay clear of responders in the area. 05-24- 202207:03:30 
 UCPD and other emergency personnel are responding. On scene responders and staff will share any immediate next actions. 
 Stay tuned to UC Berkeley WarnMe for continued information.",UC Berkeley WarnMe: Fire at Peoples' Park - AVOID THE AREA 05-24-202207:03:30,"May 24, 2022 07:03:30 PDT",Emergency Notification,Incident: Fire,None,Block,Touch ,Reconstructed Scenario,none,"Race, Gender",Address / Specific Named,People's Park,Reconstructed Scenario,"No Race, Gender Neutral","Race, Gender",Address / Specific Named,People's Park,Safety Instructions / Tips,none,none,Address / Specific Named,People's Park,Safety Instructions / Tips,none,none
123,"UC Berkeley WarnMe: The fire reported at People's Park has been extinguished. 
 UCPD and other emergency personnel continue to investigate at the scene.",UC Berkeley WarnMe: Fire at Peoples' Park - FIRE EXTINGUISHED 05-24- 202207:44:48,"May 24, 2022 07:44:48 PDT",All Clear,Incident: Fire,None,Block,People's Park,none,none,none,Address / Specific Named,People's Park,Safety Instructions / Tips,none,none,Address / Specific Named,People's Park,none,none,none,Address / Specific Named,People's Park,none,none,none
124,"Please note this message may contain information that some may find upsetting. 
 On 06-01-2022 09:30:00, an aggravated assault occurred at People's Park.",Violent Crime Reported at People's Park - Please note this message may contain information that some may find upsetting.,"Jun 01, 2022 10:03:45 PDT",Timely Warning ,Aggravated Assault,None,Block,People's Park,none,none,none,Address / Specific Named,People's Park,Safety Instructions / Tips,none,none,Address / Specific Named,People's Park,none,none,none,Address / Specific Named,People's Park,none,none,none
125,UC Berkeley WarnMe: AVOID THE AREA of People's Park until further notice 06-02- 202208:29:07.,UC Berkeley WarnMe: AVOID THE AREA of People's Park06-02- 202208:29:07,"Jun 02, 2022 08:29:08 PDT",Emergency Notification,None,None,Block,People's Park,Safety Instructions / Tips,none,none,Address / Specific Named,People's Park,Safety Instructions / Tips,none,none,Address / Specific Named,People's Park,Safety Instructions / Tips,none,none,Address / Specific Named,People's Park,Safety Instructions / Tips,none,none
126,"UC Berkeley WarnMe: AVOID THE AREA of People's Park until further notice 06-02- 202209:43:37. 
 All Clear: The situation has been resolved. Thank you for your patience.",UC Berkeley WarnMe: AVOID THE AREA of People's Park06-02- 202209:43:37,"Jun 02, 2022 09:43:37 PDT",All Clear,None,None,Block,People's Park,Safety Instructions / Tips,none,none,Address / Specific Named,People's Park,Safety Instructions / Tips,none,none,Address / Specific Named,People's Park,none,none,none,Address / Specific Named,People's Park,Safety Instructions / Tips,none,none
127,"Please note this message may contain information that some may find upsetting. 
 On 06-02-2022 09:20:00, an aggravated assault occurred at People's Park.",Violent Crime Reported at People's Park - Please note this message may contain information that some may find upsetting.,"Jun 02, 2022 10:02:13 PDT",Timely Warning ,Aggravated Assault,None,Block,Touch ,People's Park,none,none,Address / Specific Named,People's Park,Safety Instructions / Tips,none,none,Address / Specific Named,People's Park,none,none,none,Address / Specific Named,People's Park,none,none,none
128,"Please note this message may contain information that some may find upsetting. 
 On 06-06-2022 12:21:00, an aggravated assault occurred at People's Park.",Violent Crime Reported at People's Park - Please note this message may contain information that some may find upsetting.,"Jun 06, 2022 13:50:49 PDT",Timely Warning ,Aggravated Assault,None,Block,Touch ,People's Park,none,none,Address / Specific Named,People's Park,Safety Instructions / Tips,none,none,Address / Specific Named,People's Park,none,none,none,Address / Specific Named,People's Park,none,none,none
129,"Please note this message may contain information that some may find upsetting. 
 On 06-09-2022 05:22:00, a burglary occurred at 2536 Channing Way. 
 On 06-09-2022, at about 05:22:00, a burglary occurred at 2536 Channing Way (Counseling and Psychological Services Anna Head Satellite office). [UCPD Case #22-01233]",Burglary at 2536 Channing Way,"Jun 09, 2022 06:50:07 PDT",Timely Warning ,Burglary,None,Address / Specific Named,none,none,none,none,Address / Specific Named,Reconstructed Scenario,none,none,none,Address / Specific Named,none,none,none,none,Address / Specific Named,none,none,none,none
